timestamp,open,high,low,close
2025-05-28 18:00:00+07:00,2661.24,2661.24,2624.3,2649.09
2025-05-28 22:00:00+07:00,2648.27,2650.04,2629.71,2635.29
2025-05-29 02:00:00+07:00,2633.74,2651.83,2621.08,2651.83
2025-05-29 06:00:00+07:00,2656.16,2684.72,2622.05,2634.73
2025-05-29 10:00:00+07:00,2631.45,2659.64,2618.59,2618.59
2025-05-29 14:00:00+07:00,2619.77,2677.74,2614.96,2675.2
2025-05-29 18:00:00+07:00,2677.47,2772.8,2668.77,2750.79
2025-05-29 22:00:00+07:00,2750.29,2758.49,2722.36,2730.77
2025-05-30 02:00:00+07:00,2730.66,2738.24,2712.16,2712.16
2025-05-30 06:00:00+07:00,2712.35,2716.04,2628.98,2660.37
2025-05-30 10:00:00+07:00,2654.38,2665.68,2634.12,2638.83
2025-05-30 14:00:00+07:00,2638.12,2665.17,2624.94,2631.35
2025-05-30 18:00:00+07:00,2625.99,2642.85,2591.66,2635.08
2025-05-30 22:00:00+07:00,2636.32,2647.62,2604.17,2605.83
2025-05-31 02:00:00+07:00,2604.6,2625.68,2604.6,2621.73
2025-05-31 06:00:00+07:00,2624.51,2624.69,2581.31,2609.84
2025-05-31 10:00:00+07:00,2595.68,2598.47,2545.28,2576.81
2025-05-31 14:00:00+07:00,2577.41,2584.49,2516.55,2527.38
2025-05-31 18:00:00+07:00,2526.39,2536.84,2491.25,2513.3
2025-05-31 22:00:00+07:00,2513.91,2525.07,2511.62,2521.19
2025-06-01 02:00:00+07:00,2522.13,2530.23,2515.72,2518.26
2025-06-01 06:00:00+07:00,2517.84,2547.3,2517.84,2540.17
2025-06-01 10:00:00+07:00,2539.2,2544.25,2526.8,2541.77
2025-06-01 14:00:00+07:00,2542.51,2547.24,2528.24,2537.64
2025-06-01 18:00:00+07:00,2536.78,2536.78,2502.27,2511.7
2025-06-01 22:00:00+07:00,2510.66,2527.2,2510.43,2511.49
2025-06-02 02:00:00+07:00,2513.12,2513.12,2489.76,2501.14
