address,time_stamp,user,collateral,debt
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-14 18:49:23,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1000000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-14 20:00:47,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,4950000000000000000,5000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 09:30:47,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1522177275477716067202304
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 17:38:35,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1537711899188505330143304
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 21:25:59,0x5180db0237291a6449dda9ed33ad90a38787621c,3800000000000000000,2000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-16 10:32:59,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,52719508036764827003,50000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 10:37:47,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,52719508036764827003,50110099401590504094193
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 16:45:59,0xb04e51df952ed99e57367b99790fadf525413d40,9623291958708673682,10000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 16:55:59,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,961374324785718784,1000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:05:35,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,4950000000000000000,6003274590294646005595
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:17:35,0xb04e51df952ed99e57367b99790fadf525413d40,9623291958708673682,16092722423764638
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:21:23,0xb04e51df952ed99e57367b99790fadf525413d40,11958708673682,16092724992943203
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:40:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,50000000000000000000,82274234429000333408891
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 20:20:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,50000000000000000000,83945417276476654699851
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 21:50:47,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,6003345905948652211064
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:00:23,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,961374324785718784,12686307744881868
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:02:35,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,14324785718784,12686308927344585
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:08:11,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,8503350330001213072133
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:07:23,0x4d794f31fb3e6987d9875d33d84515b1b869200a,9612766658002989776,15000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:34:35,0x358506b4c5c441873ade429c5a2be777578e2c6f,96129863771648155,100000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:47:35,0x284a6c14ba3c6741ecd7cf4c76a7edf157dfc052,669016944416829237,1100000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:52:11,0x284a6c14ba3c6741ecd7cf4c76a7edf157dfc052,1248443862914114571,1600000218539361777237
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 02:54:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,5316068558467862464,8500000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:01:59,0xe057e6386047c690f6d2804ecd61e68441774bbc,97051725164389160745,100000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:06:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,9782242547739663810,8500004426176518634593
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:09:23,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,9782242547739663810,15500005712914648196071
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:38:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,18625729904811586596,15500026839042355961017
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:41:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,18625729904811586596,29000029074332648560223
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 04:47:59,0x70924482fd908923c8a7bc3e4c24df76561ea1ea,53074338555706841,30000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 05:44:59,0xb93ca0b396ce95bc80e623800ddb15ad2c0bca64,30760577897947939419,40000000000000000000000
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 08:20:47,0xb8d9f9069ad902df16db85c0563b1095b997f225,105737619913092241,150000000000000000000
